anime_id,anime_name,anime_genre,anime_ratings,anime_episodes
32281,Kimi no Na wa.,Drama,9.37,1
5114,Fullmetal Alchemist: Brotherhood,Action,9.26,64
28977,Gintama°,Action,9.25,51
9253,Steins;Gate,Sci-Fi,9.17,24
9969,Gintama&#039;,Action,9.16,51
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,Comedy,9.15,10
11061,Hunter x Hunter (2011),Action,9.13,148
820,Ginga Eiyuu Densetsu,Drama,9.11,110
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,Action,9.1,1
15417,Gintama&#039;: Enchousen,Action,9.11,13
4181,Clannad: After Story,Drama,9.06,24
28851,Koe no Katachi,Drama,9.05,1
918,Gintama,Action,9.04,201
2904,Code Geass: Hangyaku no Lelouch R2,Action,8.98,25
28891,Haikyuu!! Second Season,Comedy,8.93,25
199,Sen to Chihiro no Kamikakushi,Adventure,8.93,1
23273,Shigatsu wa Kimi no Uso,Drama,8.92,22
24701,Mushishi Zoku Shou 2nd Season,Adventure,8.88,10
12355,Ookami Kodomo no Ame to Yuki,Fantasy,8.84,1
1575,Code Geass: Hangyaku no Lelouch,Action,8.83,25
263,Hajime no Ippo,Comedy,8.83,75
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Action,8.83,4
1,Cowboy Bebop,Action,8.82,26
30276,One Punch Man,Action,8.82,12
164,Mononoke Hime,Action,8.81,1
7311,Suzumiya Haruhi no Shoushitsu,Comedy,8.81,1
17074,Monogatari Series: Second Season,Comedy,8.8,26
21939,Mushishi Zoku Shou,Adventure,8.8,10
457,Mushishi,Adventure,8.78,26
2001,Tengen Toppa Gurren Lagann,Action,8.78,27
245,Great Teacher Onizuka,Comedy,8.77,43
32983,Natsume Yuujinchou Go,Drama,8.76,13
5258,Hajime no Ippo: New Challenger,Comedy,8.75,26
28957,Mushishi Zoku Shou: Suzu no Shizuku,Adventure,8.75,1
11665,Natsume Yuujinchou Shi,Drama,8.75,13
431,Howl no Ugoku Shiro,Adventure,8.74,1
11741,Fate/Zero 2nd Season,Action,8.73,12
31757,Kizumonogatari II: Nekketsu-hen,Action,8.73,1
19,Monster,Drama,8.72,74
12365,Bakuman. 3rd Season,Comedy,8.71,25
1535,Death Note,Mystery,8.71,37
32366,Gintama°: Aizome Kaori-hen,Comedy,8.69,2
30654,Ansatsu Kyoushitsu (TV) 2nd Season,Action,8.68,25
20583,Haikyuu!!,Comedy,8.68,25
19647,Hajime no Ippo: Rising,Comedy,8.68,25
4282,Kara no Kyoukai 5: Mujun Rasen,Action,8.68,1
10379,Natsume Yuujinchou San,Drama,8.67,13
22135,Ping Pong The Animation,Psychological,8.67,11
21329,Mushishi Special: Hihamukage,Adventure,8.66,1
31043,Boku dake ga Inai Machi,Mystery,8.65,12
7785,Yojouhan Shinwa Taikei,Mystery,8.65,11
3297,Aria The Origination,Fantasy,8.64,13
30709,Kamisama Hajimemashita: Kako-hen,Comedy,8.64,4
6114,Rainbow: Nisha Rokubou no Shichinin,Drama,8.64,26
31240,Re:Zero kara Hajimeru Isekai Seikatsu,Drama,8.64,25
4565,Tengen Toppa Gurren Lagann Movie: Lagann-hen,Action,8.64,1
5300,Zoku Natsume Yuujinchou,Drama,8.64,13
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Drama,8.62,11
24415,Kuroko no Basket 3rd Season,Comedy,8.62,25
11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Sci-Fi,8.61,1
10408,Hotarubi no Mori e,Drama,8.61,1
28171,Shokugeki no Souma,Ecchi,8.61,24
32995,Yuri!!! on Ice,Comedy,8.61,12
21899,Gintama: Yorinuki Gintama-san on Theater 2D,Action,8.6,2
26055,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,Action,8.6,24
7472,Gintama Movie: Shinyaku Benizakura-hen,Action,8.59,1
777,Hellsing Ultimate,Action,8.59,10
22535,Kiseijuu: Sei no Kakuritsu,Action,8.59,24
28735,Shouwa Genroku Rakugo Shinjuu,Drama,8.59,13
12431,Uchuu Kyoudai,Comedy,8.59,99
28805,Bakemono no Ko,Adventure,8.58,1
578,Hotaru no Haka,Drama,8.58,1
16894,Kuroko no Basket 2nd Season,Comedy,8.58,25
5028,Major S5,Comedy,8.58,25
21,One Piece,Action,8.58,Unknown
801,Ghost in the Shell: Stand Alone Complex 2nd GIG,Action,8.57,26
31933,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,Action,8.57,39
5205,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),Action,8.57,1
17389,Kingdom 2nd Season,Action,8.57,39
170,Slam Dunk,Comedy,8.56,101
10162,Usagi Drop,Josei,8.56,11
18617,Girls und Panzer der Film,Military,8.55,1
32182,Mob Psycho 100,Action,8.55,12
877,Nana,Comedy,8.55,47
2251,Baccano!,Action,8.54,13
24687,Mushishi Zoku Shou: Odoro no Michi,Adventure,8.54,1
16498,Shingeki no Kyojin,Action,8.54,25
10030,Bakuman. 2nd Season,Comedy,8.53,25
5941,Cross Game,Comedy,8.53,50
30346,Doukyuusei (Movie),Romance,8.53,1
3784,Evangelion: 2.0 You Can (Not) Advance,Action,8.53,1
13125,Shinsekai yori,Drama,8.53,25
12029,Uchuu Senkan Yamato 2199,Action,8.53,26
14397,Chihayafuru 2,Drama,8.52,25
10087,Fate/Zero,Action,8.51,13
14719,JoJo no Kimyou na Bouken (TV),Action,8.51,26
9756,Mahou Shoujo Madoka★Magica,Drama,8.51,12
10165,Nichijou,Comedy,8.52,26
13601,Psycho-Pass,Action,8.5,22
22789,Barakamon,Comedy,8.5,12
30230,Diamond no Ace: Second Season,Comedy,8.5,51
18115,Magi: The Kingdom of Magic,Action,8.5,25
11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,Drama,8.5,1
11917,Major: World Series,Comedy,8.5,2
205,Samurai Champloo,Action,8.5,26
32282,Shokugeki no Souma: Ni no Sara,Ecchi,8.5,13
6594,Katanagatari,Action,8.49,12
11979,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,Drama,8.49,1
7655,Major S6,Comedy,8.49,25
2246,Mononoke,Demons,8.49,12
25835,Shirobako,Comedy,8.49,24
2921,Ashita no Joe 2,Drama,8.48,47
136,Hunter x Hunter,Action,8.48,62
30503,Noragami Aragoto,Action,8.48,13
12531,Sakamichi no Apollon,Drama,8.48,12
523,Tonari no Totoro,Adventure,8.48,1
467,Ghost in the Shell: Stand Alone Complex,Action,8.47,26
572,Kaze no Tani no Nausicaä,Adventure,8.47,1
19815,No Game No Life,Adventure,8.47,12
2559,Romeo no Aoi Sora,Adventure,8.47,33
392,Yuu☆Yuu☆Hakusho,Action,8.47,112
486,Kino no Tabi: The Beautiful World,Action,8.46,13
11771,Kuroko no Basket,Comedy,8.46,25
1698,Nodame Cantabile,Comedy,8.46,23
5341,Ookami to Koushinryou II,Adventure,8.46,12
25781,Shingeki no Kyojin: Kuinaki Sentaku,Action,8.45,2
10863,Steins;Gate: Oukoubakko no Poriomania,Sci-Fi,8.46,1
28701,Fate/stay night: Unlimited Blade Works 2nd Season,Action,8.45,13
5420,Kemono no Souja Erin,Drama,8.45,50
9260,Kizumonogatari I: Tekketsu-hen,Mystery,8.45,1
32,Neon Genesis Evangelion: The End of Evangelion,Dementia,8.45,1
4224,Toradora!,Comedy,8.45,25
2236,Toki wo Kakeru Shoujo,Adventure,8.44,1
2685,Tsubasa: Tokyo Revelations,Action,8.44,3
31181,Owarimonogatari,Comedy,8.43,12
45,Rurouni Kenshin: Meiji Kenkaku Romantan,Action,8.43,94
2418,Stranger: Mukou Hadan,Action,8.43,1
1365,Detective Conan Movie 06: The Phantom of Baker Street,Adventure,8.42,1
22297,Fate/stay night: Unlimited Blade Works,Action,8.42,12
627,Major S1,Comedy,8.42,26
10937,Mobile Suit Gundam: The Origin,Action,8.42,6
23755,Nanatsu no Taizai,Action,8.42,24
4081,Natsume Yuujinchou,Drama,8.42,13
4155,One Piece Film: Strong World,Action,8.42,1
1889,Higurashi no Naku Koro ni Kai,Mystery,8.41,24
137,Hunter x Hunter OVA,Action,8.41,8
139,Hunter x Hunter: Greed Island Final,Action,8.41,14
23317,Kuroshitsuji: Book of Murder,Comedy,8.41,2
558,Major S2,Comedy,8.41,26
5040,One Outs,Psychological,8.41,25
57,Beck,Comedy,8.4,26
33,Berserk,Action,8.4,25
5,Cowboy Bebop: Tengoku no Tobira,Action,8.4,1
1842,Major S3,Drama,8.4,26
6336,Mobile Suit Gundam Unicorn,Action,8.4,7
20651,Natsume Yuujinchou: Itsuka Yuki no Hi ni,Drama,8.4,1
1210,NHK ni Youkoso!,Comedy,8.4,24
338,Rose of Versailles,Adventure,8.4,40
13759,Sakurasou no Pet na Kanojo,Comedy,8.4,24
6547,Angel Beats!,Action,8.39,13
5081,Bakemonogatari,Mystery,8.39,15
32867,Bungou Stray Dogs 2nd Season,Mystery,8.39,12
264,Hajime no Ippo: Champion Road,Comedy,8.39,1
12859,One Piece Film: Z,Action,8.39,1
853,Ouran Koukou Host Club,Comedy,8.39,26
5460,Detective Conan Movie 13: The Raven Chaser,Action,8.38,1
6746,Durarara!!,Action,8.38,24
5690,Nodame Cantabile Finale,Comedy,8.38,11
329,Planetes,Drama,8.38,26
34240,Shelter,Music,8.38,1
513,Tenkuu no Shiro Laputa,Adventure,8.38,1
6945,Gintama: Shiroyasha Koutan,Action,8.37,1
1142,Hachimitsu to Clover II,Drama,8.37,12
6811,InuYasha: Kanketsu-hen,Action,8.37,26
16664,Kaguya-hime no Monogatari,Fantasy,8.37,1
1604,Katekyo Hitman Reborn!,Action,8.37,203
22145,Kuroshitsuji: Book of Circus,Comedy,8.37,10
2966,Ookami to Koushinryou,Adventure,8.37,13
31964,Boku no Hero Academia,Action,8.36,13
19363,Gin no Saji 2nd Season,Comedy,8.36,11
18195,Little Busters!: Refrain,Comedy,8.36,13
9890,Major: Message,Comedy,8.36,1
9130,Saint Seiya: The Lost Canvas - Meiou Shinwa 2,Action,8.36,13
9863,SKET Dance,Comedy,8.36,77
7674,Bakuman.,Comedy,8.35,25
11843,Danshi Koukousei no Nichijou,Comedy,8.35,12
16782,Kotonoha no Niwa,Drama,8.35,1
28675,Kyoukai no Kanata Movie: I&#039;ll Be Here - Mirai-hen,Fantasy,8.35,1
3226,Major S4,Comedy,8.35,26
21557,Omoide no Marnie,Drama,8.35,1
31715,Working!!!: Lord of the Takanashi,Comedy,8.34,1
43,Ghost in the Shell,Action,8.34,1
9617,K-On! Movie,Comedy,8.34,1
31051,Kuroko no Basket: Saikou no Present Desu,Action,8.34,1
10153,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A&#039;s,Action,8.34,1
1033,Sennen Joyuu,Action,8.34,1
32188,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,Sci-Fi,8.34,1
3091,xxxHOLiC Kei,Comedy,8.34,13
12115,Berserk: Ougon Jidai-hen III - Kourin,Action,8.33,1
28223,Death Parade,Drama,8.33,12
121,Fullmetal Alchemist,Action,8.33,51
3002,Gyakkyou Burai Kaiji: Ultimate Survivor,Game,8.33,26
138,Hunter x Hunter: Greed Island,Action,8.33,8
6675,Redline,Action,8.33,1
10800,Chihayafuru,Drama,8.32,25
32005,Detective Conan Movie 20: The Darkest Nightmare,Action,8.32,1
813,Dragon Ball Z,Action,8.32,291
27821,Fate/stay night: Unlimited Blade Works - Prologue,Action,8.32,1
28725,Kokoro ga Sakebitagatterunda.,Drama,8.32,1
585,Mimi wo Sumaseba,Adventure,8.32,1
16067,Nagi no Asukara,Drama,8.32,26
30,Neon Genesis Evangelion,Action,8.32,26
31490,One Piece Film: Gold,Action,8.32,1
759,Tokyo Godfathers,Comedy,8.32,1
6,Trigun,Action,8.32,26
6864,xxxHOLiC Rou,Mystery,8.32,2
9735,Gintama: Shinyaku Benizakura-hen,Action,8.31,1
11977,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,Drama,8.31,1
11123,Sekaiichi Hatsukoi 2,Comedy,8.31,12
